"orig","dest","year5","age","sex","education","flow"
"AUT","CHE",2000,"0-19","Male","High",0.00224436332746576
"AUT","CHE",2000,"0-19","Male","Low",147.774219340438
"AUT","CHE",2000,"0-19","Male","Middle",32.9123219268489
"AUT","CHE",2000,"20-39","Female","High",180.575913013522
"AUT","CHE",2000,"20-39","Female","Low",72.3641688409928
"AUT","CHE",2000,"20-39","Female","Middle",536.16495965335
"AUT","CHE",2000,"20-39","Male","High",219.850566354798
"AUT","CHE",2000,"20-39","Male","Low",63.1418467608896
"AUT","CHE",2000,"20-39","Male","Middle",453.304276042689
"AUT","CHE",2000,"40-64","Female","High",55.0541440337891
"AUT","CHE",2000,"40-64","Female","Low",40.6390398624093
"AUT","CHE",2000,"40-64","Female","Middle",199.560819570961
"AUT","CHE",2000,"40-64","Male","High",100.831021651976
"AUT","CHE",2000,"40-64","Male","Low",29.6424222410069
"AUT","CHE",2000,"40-64","Male","Middle",155.40433343601
"AUT","CHE",2000,"65+","Female","High",4.36334483307945
"AUT","CHE",2000,"65+","Female","Low",10.9728832270246
"AUT","CHE",2000,"65+","Female","Middle",29.0751851032361
"AUT","CHE",2000,"65+","Male","High",10.4124199020948
"AUT","CHE",2000,"65+","Male","Low",9.31969174005802
"AUT","CHE",2000,"65+","Male","Middle",21.0608466037959
"AUT","CHE",2005,"0-19","Female","High",0.00998685570198566
"AUT","CHE",2005,"0-19","Female","Low",545.922152003213
"AUT","CHE",2005,"0-19","Female","Middle",105.966592198644
"AUT","CHE",2005,"0-19","Male","High",0.0120226180881663
"AUT","CHE",2005,"0-19","Male","Low",552.989297688657
"AUT","CHE",2005,"0-19","Male","Middle",107.511309886093
"AUT","CHE",2005,"20-39","Female","High",675.600417365712
"AUT","CHE",2005,"20-39","Female","Low",253.843613114972
"AUT","CHE",2005,"20-39","Female","Middle",1565.96123703833
"AUT","CHE",2005,"20-39","Male","High",848.181050924362
"AUT","CHE",2005,"20-39","Male","Low",253.225762870748
"AUT","CHE",2005,"20-39","Male","Middle",1340.36993751221
"AUT","CHE",2005,"40-64","Female","High",197.827953124243
"AUT","CHE",2005,"40-64","Female","Low",125.580610042046
"AUT","CHE",2005,"40-64","Female","Middle",640.496040682278
"AUT","CHE",2005,"40-64","Male","High",384.621456305181
"AUT","CHE",2005,"40-64","Male","Low",114.634108553103
"AUT","CHE",2005,"40-64","Male","Middle",555.786233400428
"AUT","CHE",2005,"65+","Female","High",12.9856157170983
"AUT","CHE",2005,"65+","Female","Low",31.0067666931938
"AUT","CHE",2005,"65+","Female","Middle",76.5777610418371
"AUT","CHE",2005,"65+","Male","High",33.2878148851322
"AUT","CHE",2005,"65+","Male","Low",27.9185341676344
"AUT","CHE",2005,"65+","Male","Middle",56.9569121988002
"AUT","CHE",2010,"0-19","Female","High",0.0187248546667602
"AUT","CHE",2010,"0-19","Female","Low",986.047711127782
"AUT","CHE",2010,"0-19","Female","Middle",230.279864667223
"AUT","CHE",2010,"0-19","Male","High",0.0195444736978054
"AUT","CHE",2010,"0-19","Male","Low",1060.16389927756
"AUT","CHE",2010,"0-19","Male","Middle",256.520530324763
